Year,Team,DRtg
1998,Los Angeles Lakers*,103.7
1998,Seattle SuperSonics*,103.6
1998,Chicago Bulls*,99.8
1998,Utah Jazz*,105.4
1998,Indiana Pacers*,101.6
1998,Phoenix Suns*,101.8
1998,Miami Heat*,102.0
1998,San Antonio Spurs*,99.4
1998,Atlanta Hawks*,104.3
1998,Cleveland Cavaliers*,99.1
1998,New York Knicks*,100.3
1998,Charlotte Hornets*,105.3
1998,Detroit Pistons,103.5
1998,New Jersey Nets*,106.6
1998,Portland Trail Blazers*,102.4
1998,Washington Wizards,104.5
1998,Minnesota Timberwolves*,107.1
1998,Houston Rockets*,108.6
1998,Orlando Magic,103.8
1998,Milwaukee Bucks,105.6
1998,Philadelphia 76ers,105.4
1998,Boston Celtics,105.4
1998,Sacramento Kings,106.9
1998,Dallas Mavericks,107.2
1998,Los Angeles Clippers,111.2
1998,Vancouver Grizzlies,112.0
1998,Toronto Raptors,111.0
1998,Golden State Warriors,105.7
1998,Denver Nuggets,112.1
1998,League Average,105.0
1999,San Antonio Spurs*,95.0
1999,Utah Jazz*,98.4
1999,Portland Trail Blazers*,97.7
1999,Miami Heat*,98.9
1999,Indiana Pacers*,104.4
1999,Detroit Pistons*,100.3
1999,Atlanta Hawks*,97.1
1999,Los Angeles Lakers*,104.3
1999,Orlando Magic*,97.4
1999,Houston Rockets*,102.9
1999,Phoenix Suns*,103.3
1999,Philadelphia 76ers*,97.6
1999,Milwaukee Bucks*,103.0
1999,New York Knicks*,97.5
1999,Minnesota Timberwolves*,101.5
1999,Charlotte Hornets,102.4
1999,Sacramento Kings*,103.1
1999,Seattle SuperSonics,106.2
1999,Toronto Raptors,103.9
1999,Boston Celtics,102.4
1999,Cleveland Cavaliers,101.6
1999,Washington Wizards,103.7
1999,Dallas Mavericks,104.9
1999,Golden State Warriors,101.1
1999,New Jersey Nets,103.6
1999,Denver Nuggets,110.4
1999,Vancouver Grizzlies,107.9
1999,Los Angeles Clippers,109.7
1999,Chicago Bulls,103.0
1999,League Average,102.2
2000,Los Angeles Lakers*,98.2
2000,Portland Trail Blazers*,100.8
2000,San Antonio Spurs*,98.6
2000,Phoenix Suns*,99.0
2000,Utah Jazz*,102.3
2000,Indiana Pacers*,103.6
2000,Miami Heat*,101.0
2000,Sacramento Kings*,102.1
2000,Charlotte Hornets*,101.4
2000,Minnesota Timberwolves*,103.4
2000,New York Knicks*,100.9
2000,Detroit Pistons*,105.8
2000,Philadelphia 76ers*,100.0
2000,Seattle SuperSonics*,104.6
2000,Orlando Magic,101.7
2000,Milwaukee Bucks*,107.9
2000,Toronto Raptors*,104.9
2000,Dallas Mavericks,107.2
2000,Boston Celtics,105.6
2000,Houston Rockets,105.7
2000,New Jersey Nets,106.3
2000,Denver Nuggets,105.8
2000,Washington Wizards,107.0
2000,Cleveland Cavaliers,104.0
2000,Atlanta Hawks,107.9
2000,Vancouver Grizzlies,108.5
2000,Golden State Warriors,108.4
2000,Chicago Bulls,104.6
2000,Los Angeles Clippers,110.1
2000,League Average,104.1
2001,San Antonio Spurs*,98.0
2001,Sacramento Kings*,99.6
2001,Utah Jazz*,102.4
2001,Philadelphia 76ers*,98.9
2001,Portland Trail Blazers*,101.8
2001,Dallas Mavericks*,102.6
2001,Milwaukee Bucks*,104.6
2001,Los Angeles Lakers*,104.8
2001,New York Knicks*,98.2
2001,Miami Heat*,98.5
2001,Toronto Raptors*,103.4
2001,Houston Rockets,104.2
2001,Charlotte Hornets*,99.5
2001,Phoenix Suns*,98.0
2001,Minnesota Timberwolves*,103.7
2001,Orlando Magic*,102.1
2001,Seattle SuperSonics,105.6
2001,Indiana Pacers*,102.2
2001,Detroit Pistons,101.8
2001,Boston Celtics,103.7
2001,Denver Nuggets,106.3
2001,Los Angeles Clippers,104.5
2001,Cleveland Cavaliers,104.9
2001,New Jersey Nets,105.5
2001,Atlanta Hawks,104.3
2001,Vancouver Grizzlies,105.8
2001,Washington Wizards,107.8
2001,Golden State Warriors,107.4
2001,Chicago Bulls,107.3
2001,League Average,103.0
2002,Sacramento Kings*,101.1
2002,Los Angeles Lakers*,101.7
2002,San Antonio Spurs*,99.7
2002,New Jersey Nets*,99.5
2002,Dallas Mavericks*,107.7
2002,Minnesota Timberwolves*,105.3
2002,Portland Trail Blazers*,104.0
2002,Seattle SuperSonics*,105.6
2002,Boston Celtics*,101.0
2002,Detroit Pistons*,102.4
2002,Philadelphia 76ers*,100.3
2002,Orlando Magic*,105.3
2002,Utah Jazz*,104.6
2002,Charlotte Hornets*,103.3
2002,Indiana Pacers*,103.8
2002,Milwaukee Bucks,107.1
2002,Los Angeles Clippers,106.0
2002,Toronto Raptors*,103.1
2002,Phoenix Suns,104.0
2002,Washington Wizards,106.4
2002,Miami Heat,100.2
2002,Cleveland Cavaliers,108.2
2002,New York Knicks,105.9
2002,Atlanta Hawks,106.4
2002,Houston Rockets,108.6
2002,Golden State Warriors,108.5
2002,Denver Nuggets,107.8
2002,Memphis Grizzlies,106.3
2002,Chicago Bulls,107.6
2002,League Average,104.5
2003,Dallas Mavericks*,102.3
2003,Sacramento Kings*,99.1
2003,San Antonio Spurs*,99.7
2003,New Jersey Nets*,98.1
2003,Detroit Pistons*,99.9
2003,Indiana Pacers*,100.8
2003,Portland Trail Blazers*,102.6
2003,Utah Jazz*,102.8
2003,Los Angeles Lakers*,104.7
2003,Philadelphia 76ers*,102.5
2003,Minnesota Timberwolves*,103.8
2003,New Orleans Hornets*,101.6
2003,Houston Rockets,102.6
2003,Phoenix Suns*,102.5
2003,Orlando Magic*,105.0
2003,Milwaukee Bucks*,108.6
2003,Seattle SuperSonics,103.9
2003,Boston Celtics*,101.6
2003,Washington Wizards,104.1
2003,Golden State Warriors,109.5
2003,New York Knicks,106.2
2003,Memphis Grizzlies,107.3
2003,Atlanta Hawks,106.1
2003,Los Angeles Clippers,106.8
2003,Chicago Bulls,105.6
2003,Miami Heat,102.4
2003,Toronto Raptors,107.0
2003,Denver Nuggets,101.3
2003,Cleveland Cavaliers,106.7
2003,League Average,103.6
2004,San Antonio Spurs*,94.1
2004,Detroit Pistons*,95.4
2004,Indiana Pacers*,97.2
2004,Minnesota Timberwolves*,99.7
2004,Sacramento Kings*,104.9
2004,Dallas Mavericks*,107.4
2004,Los Angeles Lakers*,101.3
2004,New Jersey Nets*,98.0
2004,Memphis Grizzlies*,102.2
2004,Houston Rockets*,99.0
2004,Denver Nuggets*,102.7
2004,Milwaukee Bucks*,105.4
2004,Miami Heat*,101.7
2004,New Orleans Hornets*,102.4
2004,Seattle SuperSonics,108.0
2004,Golden State Warriors,103.8
2004,Portland Trail Blazers,105.1
2004,Utah Jazz,103.3
2004,Boston Celtics*,103.7
2004,New York Knicks*,103.3
2004,Philadelphia 76ers,101.9
2004,Cleveland Cavaliers,104.2
2004,Toronto Raptors,100.4
2004,Phoenix Suns,105.5
2004,Los Angeles Clippers,108.5
2004,Atlanta Hawks,106.1
2004,Washington Wizards,104.8
2004,Chicago Bulls,103.4
2004,Orlando Magic,110.4
2004,League Average,102.9
2005,San Antonio Spurs*,98.8
2005,Phoenix Suns*,107.1
2005,Miami Heat*,103.1
2005,Dallas Mavericks*,104.1
2005,Houston Rockets*,101.7
2005,Detroit Pistons*,101.2
2005,Seattle SuperSonics*,109.6
2005,Memphis Grizzlies*,102.9
2005,Sacramento Kings*,108.2
2005,Denver Nuggets*,103.9
2005,Minnesota Timberwolves,106.6
2005,Chicago Bulls*,100.3
2005,Boston Celtics*,106.6
2005,Cleveland Cavaliers,105.7
2005,Indiana Pacers*,104.6
2005,Washington Wizards*,107.5
2005,Philadelphia 76ers*,104.3
2005,Los Angeles Clippers,106.4
2005,New Jersey Nets*,103.1
2005,Toronto Raptors,108.7
2005,Golden State Warriors,106.9
2005,Orlando Magic,107.3
2005,New York Knicks,108.9
2005,Milwaukee Bucks,109.8
2005,Los Angeles Lakers,111.4
2005,Portland Trail Blazers,107.7
2005,Utah Jazz,109.5
2005,Charlotte Bobcats,107.5
2005,New Orleans Hornets,107.7
2005,Atlanta Hawks,111.1
2005,League Average,106.1
2006,San Antonio Spurs*,99.6
2006,Detroit Pistons*,103.1
2006,Dallas Mavericks*,105.0
2006,Phoenix Suns*,105.8
2006,Memphis Grizzlies*,101.6
2006,Miami Heat*,104.5
2006,Los Angeles Lakers*,105.7
2006,Cleveland Cavaliers*,105.4
2006,Indiana Pacers*,102.4
2006,Washington Wizards*,107.3
2006,Sacramento Kings*,105.0
2006,Los Angeles Clippers*,103.6
2006,New Jersey Nets*,102.4
2006,Chicago Bulls*,103.4
2006,Denver Nuggets*,105.2
2006,Milwaukee Bucks*,107.4
2006,Orlando Magic,107.5
2006,Golden State Warriors,106.2
2006,Houston Rockets,103.3
2006,Boston Celtics,106.9
2006,Minnesota Timberwolves,104.5
2006,Philadelphia 76ers,108.1
2006,Utah Jazz,107.0
2006,New Orleans/Oklahoma City Hornets,106.8
2006,Toronto Raptors,112.7
2006,Seattle SuperSonics,114.4
2006,Charlotte Bobcats,106.7
2006,Atlanta Hawks,111.6
2006,New York Knicks,111.0
2006,Portland Trail Blazers,111.9
2006,League Average,106.2
2007,San Antonio Spurs*,99.9
2007,Dallas Mavericks*,103.2
2007,Phoenix Suns*,106.4
2007,Chicago Bulls*,99.6
2007,Houston Rockets*,100.7
2007,Detroit Pistons*,104.2
2007,Cleveland Cavaliers*,101.3
2007,Utah Jazz*,107.0
2007,Denver Nuggets*,105.9
2007,Toronto Raptors*,106.0
2007,Orlando Magic*,104.1
2007,Los Angeles Lakers*,108.6
2007,Golden State Warriors*,107.4
2007,Washington Wizards*,110.6
2007,Los Angeles Clippers,105.6
2007,New Jersey Nets*,106.6
2007,Miami Heat*,105.3
2007,New Orleans/Oklahoma City Hornets,106.5
2007,Sacramento Kings,108.0
2007,Indiana Pacers,105.5
2007,Seattle SuperSonics,110.3
2007,New York Knicks,108.8
2007,Philadelphia 76ers,106.9
2007,Boston Celtics,106.9
2007,Minnesota Timberwolves,107.9
2007,Charlotte Bobcats,107.6
2007,Milwaukee Bucks,111.7
2007,Portland Trail Blazers,109.9
2007,Atlanta Hawks,108.3
2007,Memphis Grizzlies,112.3
2007,League Average,106.5
2008,Boston Celtics*,98.9
2008,Detroit Pistons*,102.9
2008,Los Angeles Lakers*,105.5
2008,Utah Jazz*,106.5
2008,Orlando Magic*,105.5
2008,New Orleans Hornets*,105.7
2008,San Antonio Spurs*,101.8
2008,Houston Rockets*,101.6
2008,Phoenix Suns*,108.1
2008,Dallas Mavericks*,106.1
2008,Denver Nuggets*,106.3
2008,Toronto Raptors*,107.0
2008,Golden State Warriors,109.5
2008,Philadelphia 76ers*,106.0
2008,Washington Wizards*,109.6
2008,Cleveland Cavaliers*,106.4
2008,Portland Trail Blazers,108.4
2008,Indiana Pacers,107.5
2008,Atlanta Hawks*,108.9
2008,Sacramento Kings,109.9
2008,Chicago Bulls,107.2
2008,Charlotte Bobcats,109.4
2008,New Jersey Nets,109.4
2008,Memphis Grizzlies,111.4
2008,New York Knicks,111.9
2008,Minnesota Timberwolves,111.2
2008,Milwaukee Bucks,112.8
2008,Los Angeles Clippers,109.1
2008,Seattle SuperSonics,109.5
2008,Miami Heat,110.0
2008,League Average,107.5
2009,Cleveland Cavaliers*,102.4
2009,Boston Celtics*,102.3
2009,Los Angeles Lakers*,104.7
2009,Orlando Magic*,101.9
2009,Portland Trail Blazers*,107.8
2009,Houston Rockets*,104.0
2009,San Antonio Spurs*,104.3
2009,Denver Nuggets*,106.8
2009,Utah Jazz*,107.3
2009,Dallas Mavericks*,108.4
2009,Phoenix Suns,111.6
2009,Atlanta Hawks*,107.6
2009,New Orleans Hornets*,107.0
2009,Miami Heat*,107.6
2009,Philadelphia 76ers*,107.8
2009,Chicago Bulls*,108.7
2009,Detroit Pistons*,108.0
2009,Indiana Pacers,109.2
2009,Milwaukee Bucks,107.9
2009,Charlotte Bobcats,106.1
2009,New York Knicks,110.8
2009,New Jersey Nets,111.0
2009,Toronto Raptors,110.0
2009,Golden State Warriors,113.3
2009,Minnesota Timberwolves,111.4
2009,Memphis Grizzlies,109.5
2009,Oklahoma City Thunder,109.4
2009,Washington Wizards,113.6
2009,Sacramento Kings,114.7
2009,Los Angeles Clippers,111.7
2009,League Average,108.3
2010,Orlando Magic*,103.3
2010,Cleveland Cavaliers*,104.1
2010,Utah Jazz*,105.0
2010,San Antonio Spurs*,104.5
2010,Atlanta Hawks*,106.7
2010,Phoenix Suns*,110.2
2010,Los Angeles Lakers*,103.7
2010,Denver Nuggets*,107.5
2010,Boston Celtics*,103.8
2010,Portland Trail Blazers*,107.1
2010,Oklahoma City Thunder*,104.6
2010,Dallas Mavericks*,106.3
2010,Miami Heat*,104.1
2010,Milwaukee Bucks*,103.1
2010,Charlotte Bobcats*,102.8
2010,Houston Rockets,108.0
2010,Memphis Grizzlies,109.9
2010,Chicago Bulls*,105.3
2010,Toronto Raptors,113.2
2010,New Orleans Hornets,110.1
2010,Indiana Pacers,106.8
2010,Golden State Warriors,111.7
2010,New York Knicks,111.6
2010,Philadelphia 76ers,110.3
2010,Sacramento Kings,109.9
2010,Washington Wizards,109.4
2010,Detroit Pistons,111.4
2010,Los Angeles Clippers,110.1
2010,Minnesota Timberwolves,111.6
2010,New Jersey Nets,110.5
2010,League Average,107.6
2011,Miami Heat*,103.5
2011,Chicago Bulls*,100.3
2011,Los Angeles Lakers*,104.3
2011,San Antonio Spurs*,105.6
2011,Boston Celtics*,100.3
2011,Orlando Magic*,102.0
2011,Denver Nuggets*,107.3
2011,Dallas Mavericks*,105.0
2011,Oklahoma City Thunder*,107.2
2011,Memphis Grizzlies*,105.1
2011,Houston Rockets,109.0
2011,Portland Trail Blazers*,107.1
2011,Philadelphia 76ers*,105.0
2011,New Orleans Hornets*,105.2
2011,New York Knicks*,110.1
2011,Milwaukee Bucks,102.5
2011,Phoenix Suns,110.4
2011,Atlanta Hawks*,107.0
2011,Indiana Pacers*,106.0
2011,Utah Jazz,110.1
2011,Golden State Warriors,110.7
2011,Los Angeles Clippers,108.7
2011,Detroit Pistons,111.7
2011,Charlotte Bobcats,107.8
2011,Sacramento Kings,109.0
2011,New Jersey Nets,109.9
2011,Toronto Raptors,112.9
2011,Minnesota Timberwolves,111.1
2011,Washington Wizards,110.2
2011,Cleveland Cavaliers,111.8
2011,League Average,107.3
2012,Chicago Bulls*,98.3
2012,San Antonio Spurs*,103.2
2012,Oklahoma City Thunder*,103.2
2012,Miami Heat*,100.2
2012,Philadelphia 76ers*,99.2
2012,Atlanta Hawks*,101.2
2012,Indiana Pacers*,103.1
2012,New York Knicks*,101.0
2012,Denver Nuggets*,106.2
2012,Boston Celtics*,98.2
2012,Los Angeles Clippers*,105.7
2012,Memphis Grizzlies*,101.8
2012,Los Angeles Lakers*,104.4
2012,Dallas Mavericks*,102.3
2012,Orlando Magic*,104.1
2012,Utah Jazz*,106.1
2012,Milwaukee Bucks,105.2
2012,Houston Rockets,105.2
2012,Phoenix Suns,106.5
2012,Portland Trail Blazers,106.4
2012,Minnesota Timberwolves,106.6
2012,Golden State Warriors,109.1
2012,Toronto Raptors,104.5
2012,New Orleans Hornets,105.1
2012,Washington Wizards,106.2
2012,Detroit Pistons,106.3
2012,Sacramento Kings,109.8
2012,New Jersey Nets,109.6
2012,Cleveland Cavaliers,108.9
2012,Charlotte Bobcats,110.4
2012,League Average,104.6
2013,Oklahoma City Thunder*,102.6
2013,Miami Heat*,103.7
2013,Los Angeles Clippers*,103.6
2013,San Antonio Spurs*,101.6
2013,Denver Nuggets*,105.1
2013,New York Knicks*,106.3
2013,Memphis Grizzlies*,100.3
2013,Indiana Pacers*,99.8
2013,Houston Rockets*,106.1
2013,Brooklyn Nets*,106.2
2013,Los Angeles Lakers*,106.6
2013,Golden State Warriors*,105.5
2013,Atlanta Hawks*,104.4
2013,Chicago Bulls*,103.2
2013,Utah Jazz,106.8
2013,Boston Celtics*,103.3
2013,Dallas Mavericks,106.5
2013,Milwaukee Bucks*,105.2
2013,Toronto Raptors,107.5
2013,Minnesota Timberwolves,105.4
2013,Washington Wizards,103.0
2013,Portland Trail Blazers,109.2
2013,Philadelphia 76ers,105.7
2013,Detroit Pistons,108.1
2013,New Orleans Hornets,110.1
2013,Cleveland Cavaliers,109.4
2013,Sacramento Kings,111.4
2013,Phoenix Suns,108.1
2013,Orlando Magic,109.1
2013,Charlotte Bobcats,111.5
2013,League Average,105.9
2014,San Antonio Spurs*,102.4
2014,Los Angeles Clippers*,104.8
2014,Oklahoma City Thunder*,103.9
2014,Miami Heat*,105.8
2014,Golden State Warriors*,102.6
2014,Indiana Pacers*,99.3
2014,Houston Rockets*,106.3
2014,Portland Trail Blazers*,107.4
2014,Toronto Raptors*,105.3
2014,Phoenix Suns,106.7
2014,Minnesota Timberwolves,106.2
2014,Dallas Mavericks*,108.7
2014,Chicago Bulls*,100.5
2014,Memphis Grizzlies*,104.6
2014,Washington Wizards*,104.6
2014,Charlotte Bobcats*,103.8
2014,Atlanta Hawks*,106.4
2014,New York Knicks,109.1
2014,Brooklyn Nets*,107.7
2014,Denver Nuggets,108.2
2014,New Orleans Pelicans,110.1
2014,Sacramento Kings,108.8
2014,Cleveland Cavaliers,107.7
2014,Detroit Pistons,109.7
2014,Boston Celtics,107.7
2014,Orlando Magic,107.4
2014,Los Angeles Lakers,110.6
2014,Utah Jazz,111.3
2014,Milwaukee Bucks,111.8
2014,Philadelphia 76ers,109.9
2014,League Average,106.7
2015,Golden State Warriors*,101.4
2015,Los Angeles Clippers*,105.5
2015,San Antonio Spurs*,102.0
2015,Atlanta Hawks*,103.1
2015,Cleveland Cavaliers*,106.3
2015,Portland Trail Blazers*,103.7
2015,Houston Rockets*,103.4
2015,Memphis Grizzlies*,102.2
2015,Toronto Raptors*,107.7
2015,Chicago Bulls*,104.3
2015,Dallas Mavericks*,106.4
2015,Oklahoma City Thunder,105.5
2015,New Orleans Pelicans*,107.3
2015,Washington Wizards*,103.0
2015,Milwaukee Bucks*,102.2
2015,Indiana Pacers,103.2
2015,Utah Jazz,104.9
2015,Boston Celtics*,104.5
2015,Phoenix Suns,106.2
2015,Detroit Pistons,106.4
2015,Miami Heat,106.7
2015,Brooklyn Nets*,107.4
2015,Charlotte Hornets,103.5
2015,Denver Nuggets,108.2
2015,Sacramento Kings,109.2
2015,Orlando Magic,107.7
2015,Los Angeles Lakers,110.6
2015,Minnesota Timberwolves,112.2
2015,Philadelphia 76ers,104.8
2015,New York Knicks,110.0
2015,League Average,105.6
2016,San Antonio Spurs*,99.0
2016,Golden State Warriors*,103.8
2016,Oklahoma City Thunder*,105.6
2016,Cleveland Cavaliers*,104.5
2016,Toronto Raptors*,105.2
2016,Los Angeles Clippers*,103.8
2016,Atlanta Hawks*,101.4
2016,Boston Celtics*,103.6
2016,Charlotte Hornets*,104.3
2016,Utah Jazz,103.9
2016,Miami Heat*,104.4
2016,Indiana Pacers*,102.9
2016,Portland Trail Blazers*,108.0
2016,Detroit Pistons*,105.5
2016,Houston Rockets*,108.1
2016,Dallas Mavericks*,107.0
2016,Washington Wizards,105.8
2016,Chicago Bulls,106.5
2016,Orlando Magic,106.8
2016,Sacramento Kings,108.4
2016,Memphis Grizzlies*,107.8
2016,New York Knicks,107.6
2016,Denver Nuggets,108.9
2016,Minnesota Timberwolves,110.1
2016,New Orleans Pelicans,109.5
2016,Milwaukee Bucks,108.7
2016,Phoenix Suns,109.0
2016,Brooklyn Nets,110.9
2016,Los Angeles Lakers,111.6
2016,Philadelphia 76ers,109.2
2016,League Average,106.4
2017,Golden State Warriors*,104.0
2017,San Antonio Spurs*,103.5
2017,Houston Rockets*,109.0
2017,Toronto Raptors*,107.8
2017,Los Angeles Clippers*,108.2
2017,Utah Jazz*,105.3
2017,Cleveland Cavaliers*,110.3
2017,Boston Celtics*,108.4
2017,Washington Wizards*,109.3
2017,Miami Heat,106.7
2017,Oklahoma City Thunder*,107.5
2017,Memphis Grizzlies*,107.1
2017,Denver Nuggets,112.7
2017,Chicago Bulls*,107.0
2017,Charlotte Hornets,108.6
2017,Indiana Pacers*,108.8
2017,Milwaukee Bucks*,109.3
2017,Portland Trail Blazers*,110.8
2017,Atlanta Hawks*,105.7
2017,Detroit Pistons,107.1
2017,Minnesota Timberwolves,112.0
2017,New Orleans Pelicans,107.4
2017,Dallas Mavericks,108.8
2017,New York Knicks,111.5
2017,Sacramento Kings,111.3
2017,Phoenix Suns,112.2
2017,Philadelphia 76ers,108.9
2017,Brooklyn Nets,110.7
2017,Orlando Magic,110.5
2017,Los Angeles Lakers,113.0
2017,League Average,108.8
2018,Houston Rockets*,106.1
2018,Toronto Raptors*,105.9
2018,Golden State Warriors*,107.6
2018,Utah Jazz*,103.9
2018,Philadelphia 76ers*,105.0
2018,Boston Celtics*,103.9
2018,Oklahoma City Thunder*,107.2
2018,San Antonio Spurs*,104.8
2018,Portland Trail Blazers*,106.4
2018,Minnesota Timberwolves*,111.1
2018,Denver Nuggets,111.0
2018,Indiana Pacers*,108.1
2018,New Orleans Pelicans*,108.3
2018,Cleveland Cavaliers*,111.9
2018,Washington Wizards*,108.7
2018,Miami Heat*,106.3
2018,Charlotte Hornets,109.1
2018,Los Angeles Clippers,110.2
2018,Detroit Pistons,107.3
2018,Milwaukee Bucks*,110.1
2018,Los Angeles Lakers,108.0
2018,Dallas Mavericks,109.5
2018,New York Knicks,110.7
2018,Brooklyn Nets,110.6
2018,Orlando Magic,110.1
2018,Atlanta Hawks,110.6
2018,Memphis Grizzlies,111.0
2018,Chicago Bulls,110.9
2018,Sacramento Kings,111.1
2018,Phoenix Suns,112.8
2018,League Average,108.6
2019,Milwaukee Bucks*,105.2
2019,Golden State Warriors*,109.5
2019,Toronto Raptors*,107.1
2019,Utah Jazz*,105.7
2019,Houston Rockets*,110.7
2019,Boston Celtics*,107.8
2019,Portland Trail Blazers*,110.5
2019,Denver Nuggets*,108.9
2019,Indiana Pacers*,106.5
2019,Oklahoma City Thunder*,107.0
2019,Philadelphia 76ers*,110.0
2019,San Antonio Spurs*,111.2
2019,Los Angeles Clippers*,111.5
2019,Orlando Magic*,108.1
2019,Brooklyn Nets*,109.7
2019,Detroit Pistons*,109.2
2019,Miami Heat,107.6
2019,Sacramento Kings,111.5
2019,Charlotte Hornets,112.5
2019,New Orleans Pelicans,112.6
2019,Dallas Mavericks,110.7
2019,Minnesota Timberwolves,112.9
2019,Los Angeles Lakers,109.5
2019,Memphis Grizzlies,108.8
2019,Washington Wizards,113.9
2019,Atlanta Hawks,113.9
2019,Chicago Bulls,113.2
2019,New York Knicks,113.7
2019,Phoenix Suns,115.1
2019,Cleveland Cavaliers,117.6
2019,League Average,110.4
2020,Milwaukee Bucks*,102.9
2020,Boston Celtics*,107.0
2020,Los Angeles Clippers*,107.6
2020,Toronto Raptors*,105.0
2020,Los Angeles Lakers*,106.3
2020,Dallas Mavericks*,111.7
2020,Miami Heat*,109.5
2020,Houston Rockets*,110.1
2020,Utah Jazz*,109.9
2020,Philadelphia 76ers*,109.0
2020,Denver Nuggets*,111.0
2020,Indiana Pacers*,108.0
2020,Oklahoma City Thunder*,108.8
2020,Phoenix Suns,111.4
2020,Brooklyn Nets*,109.5
2020,Orlando Magic*,109.5
2020,San Antonio Spurs,113.5
2020,Memphis Grizzlies,110.3
2020,Portland Trail Blazers*,114.8
2020,New Orleans Pelicans,111.9
2020,Sacramento Kings,112.2
2020,Chicago Bulls,109.8
2020,Detroit Pistons,112.7
2020,Minnesota Timberwolves,112.2
2020,Washington Wizards,115.5
2020,New York Knicks,113.0
2020,Charlotte Hornets,113.3
2020,Atlanta Hawks,114.8
2020,Cleveland Cavaliers,115.4
2020,Golden State Warriors,113.8
2020,League Average,110.6
2021,Utah Jazz*,108.3
2021,Los Angeles Clippers*,111.2
2021,Phoenix Suns*,111.3
2021,Milwaukee Bucks*,111.4
2021,Philadelphia 76ers*,107.6
2021,Denver Nuggets*,112.1
2021,Brooklyn Nets*,113.8
2021,Los Angeles Lakers*,107.1
2021,Dallas Mavericks*,113.0
2021,New York Knicks*,108.2
2021,Atlanta Hawks*,113.3
2021,Portland Trail Blazers*,116.0
2021,Boston Celtics*,112.5
2021,Golden State Warriors,110.1
2021,Memphis Grizzlies*,111.0
2021,Miami Heat*,111.2
2021,Indiana Pacers,112.4
2021,New Orleans Pelicans,113.8
2021,Toronto Raptors,112.5
2021,Chicago Bulls,112.0
2021,San Antonio Spurs,112.8
2021,Washington Wizards*,113.0
2021,Charlotte Hornets,112.8
2021,Sacramento Kings,117.2
2021,Detroit Pistons,112.5
2021,Minnesota Timberwolves,115.0
2021,Houston Rockets,114.9
2021,Cleveland Cavaliers,114.4
2021,Orlando Magic,114.5
2021,Oklahoma City Thunder,114.0
2021,League Average,112.3
2022,Boston Celtics*,106.9
2022,Phoenix Suns*,107.3
2022,Utah Jazz*,110.5
2022,Memphis Grizzlies*,109.0
2022,Golden State Warriors*,106.9
2022,Miami Heat*,109.1
2022,Dallas Mavericks*,109.4
2022,Milwaukee Bucks*,111.8
2022,Philadelphia 76ers*,110.8
2022,Minnesota Timberwolves*,111.7
2022,Denver Nuggets*,112.1
2022,Toronto Raptors*,110.5
2022,Cleveland Cavaliers,109.7
2022,Atlanta Hawks*,114.9
2022,Brooklyn Nets*,112.8
2022,Charlotte Hornets,113.7
2022,San Antonio Spurs,112.3
2022,Los Angeles Clippers,110.1
2022,New York Knicks,110.5
2022,Chicago Bulls*,113.6
2022,New Orleans Pelicans*,113.0
2022,Los Angeles Lakers,113.3
2022,Washington Wizards,114.5
2022,Indiana Pacers,116.1
2022,Sacramento Kings,115.3
2022,Detroit Pistons,113.8
2022,Orlando Magic,112.5
2022,Oklahoma City Thunder,112.8
2022,Houston Rockets,116.7
2022,Portland Trail Blazers,116.9
2022,League Average,112.0
2023,Boston Celtics*,111.5
2023,Cleveland Cavaliers*,110.6
2023,Philadelphia 76ers*,113.3
2023,Memphis Grizzlies*,111.2
2023,Milwaukee Bucks*,111.9
2023,Denver Nuggets*,114.2
2023,New York Knicks*,114.8
2023,Sacramento Kings*,116.8
2023,Phoenix Suns*,113.0
2023,New Orleans Pelicans*,112.5
2023,Golden State Warriors*,114.4
2023,Toronto Raptors*,114.0
2023,Chicago Bulls*,112.2
2023,Oklahoma City Thunder*,114.2
2023,Brooklyn Nets*,114.1
2023,Los Angeles Lakers*,113.9
2023,Los Angeles Clippers*,114.5
2023,Atlanta Hawks*,116.3
2023,Dallas Mavericks,116.7
2023,Minnesota Timberwolves*,113.8
2023,Miami Heat*,113.3
2023,Utah Jazz,116.7
2023,Washington Wizards,115.6
2023,Orlando Magic,114.2
2023,Indiana Pacers,117.7
2023,Portland Trail Blazers,118.8
2023,Charlotte Hornets,115.3
2023,Houston Rockets,119.3
2023,Detroit Pistons,118.9
2023,San Antonio Spurs,120.0
2023,League Average,114.8
